Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
StackCalc SC-32 Founder's Edition (Batch 00),sc32-founders-edition,"<h2>The Inaugural Handheld RPN Instrument</h2><p>The <strong>StackCalc SC-32 Founder's Edition</strong> is our limited inaugural production run (Batch 00, strictly 5 numbered units worldwide). Built for mathematicians, students, and engineers who value physical focus and mathematical clarity.</p><h3>Founder's Edition Exclusive Features</h3><ul><li><strong>Priority Early Access:</strong> Ships immediately from inaugural Batch 00.</li><li><strong>Custom Laser Nameplate Engraving:</strong> Your name or callsign precision laser-engraved onto the rear chassis plate in brutalist Space Mono typography (entered at checkout).</li><li><strong>Travel & Desk Bundle:</strong> Includes reversible protective TPU travel pouch and dual ergonomic desk stands.</li><li><strong>Hardware Parity:</strong> Identical high-performance 4-level RPN stack engine, 43 snap-dome switches, and glare-free screen as the standard edition.</li></ul><h3>Pure Mathematical Clarity</h3><p>Unlike conventional calculators burdened by nested parentheses and confusing operator precedence, StackCalc uses Reverse Polish Notation (RPN). Watch intermediate calculations emerge effortlessly on the visible 4-level stack.</p><h3>5-Minute Effortless Snap Assembly</h3><p>Arrives as an easy 5-minute snap-together kit. The mainboard and display are 100% pre-soldered and factory-tested—zero soldering, wire stripping, or special tools needed. Simply seat the mainboard into the anti-wobble chassis, position the tactile keycaps, and snap on your faceplate.</p><h3>What's in the Box</h3><ul><li>1× 100% Pre-Soldered & Pre-Flashed SC-32 Mainboard</li><li>1× Anti-Wobble Desk Chassis with 1.6° Ergonomic Incline</li><li>1× Choice of 5 Signature Faceplates (Apollo White, Stealth Slate, etc.)</li><li>43× Mechanical Snap-Dome Tactile Keys with Pre-Printed Keycaps</li><li>1× High-Contrast Glare-Free Graphic Screen</li><li>1× Custom Laser-Engraved Rear Nameplate</li><li>1× Reversible TPU Protective Travel Pouch</li><li>1× Standard CR2032 Coin Cell Battery (Multi-Month Battery Life)</li><li>1× Protective Packaging (Unfolds into Dual 78° & 10° Desk Stands)</li><li>1× Quick Start Field Manual</li></ul>",StackCalc,,Scientific Calculator,"Calculator, RPN, Scientific Calculator, Physical Calculator, Founder's Edition, Batch 00, Limited Edition, Snap Assembly, STEM",TRUE,Active,SC32-FND-RETRO,,Colorway,RetroFuturism,,,,,,,,89.00,115.00,26.50,TRUE,,,,,,shopify,1,DENY,185,g,TRUE,manual,,,,,FALSE,StackCalc SC-32 Founder's Edition | Dedicated RPN Calculator,"Pre-order the limited Founder's Edition SC-32 RPN calculator. Includes custom laser name engraving, 5-minute snap assembly, and 5 colorways.",,Office Supplies > Calculators,Unisex,Adult,SC32-FND-RETRO,,,New,FALSE,,,,,
,sc32-founders-edition,,,,,,,,SC32-FND-STLTH,,,Stealth Industrial,,,,,,,,89.00,115.00,26.50,TRUE,,,,,,shopify,1,DENY,185,g,TRUE,manual,,,,,,,,,,,,SC32-FND-STLTH,,,,,,,,,
,sc32-founders-edition,,,,,,,,SC32-FND-SPRNV,,,Supernova,,,,,,,,89.00,115.00,26.50,TRUE,,,,,,shopify,1,DENY,185,g,TRUE,manual,,,,,,,,,,,,SC32-FND-SPRNV,,,,,,,,,
,sc32-founders-edition,,,,,,,,SC32-FND-DPSPC,,,Deep Space,,,,,,,,89.00,115.00,26.50,TRUE,,,,,,shopify,1,DENY,185,g,TRUE,manual,,,,,,,,,,,,SC32-FND-DPSPC,,,,,,,,,
,sc32-founders-edition,,,,,,,,SC32-FND-VYG01,,,Voyager,,,,,,,,89.00,115.00,26.50,TRUE,,,,,,shopify,1,DENY,185,g,TRUE,manual,,,,,,,,,,,,SC32-FND-VYG01,,,,,,,,,
StackCalc SC-32 RPN Scientific Calculator,sc32-scientific-calculator,"<h2>The $59 Tactile RPN Scientific Calculator</h2><p>The <strong>StackCalc SC-32</strong> is the most affordable dedicated physical RPN scientific calculator available anywhere. Engineered for students, educators, and STEM professionals who need distraction-free computational focus without the premium price tag of vintage instruments.</p><h3>Pure Stack Math (RPN)</h3><p>Master mathematics without parenthesis ambiguity. The 4-level visual RPN stack processes fractions, trigonometry, powers, roots, logarithms, and two-variable statistics with instant intermediate visibility.</p><h3>Identical Hardware & Math Engine</h3><p>Shares the exact same pre-soldered SMT mainboard, tactile snap-dome switches, glare-free graphic LCD, and Embedded Swift calculation engine as the Founder's Edition, fitted with a standard serialized backplate.</p><h3>Effortless 5-Minute Snap Assembly</h3><p>Ships as an easy 5-minute snap-together kit. All sensitive electronics and display circuitry are 100% pre-soldered and factory-tested—zero soldering, wire stripping, or special tools needed. A fantastic STEM project for parents and kids, or a quick desk setup for busy engineers.</p><h3>What's in the Box</h3><ul><li>1× 100% Pre-Soldered & Pre-Flashed SC-32 Mainboard</li><li>1× Anti-Wobble Desk Chassis with 1.6° Planar Wedge</li><li>1× Choice of 5 Signature Faceplates</li><li>43× Mechanical Snap-Dome Tactile Keys with Pre-Printed Keycaps</li><li>1× High-Contrast Glare-Free Graphic Screen</li><li>1× Standard Serialized Metal Backplate</li><li>1× Standard CR2032 Coin Cell Battery</li><li>1× Dual-Position Desk Stand Packaging</li><li>1× Quick Reference Card</li></ul>",StackCalc,,Scientific Calculator,"Calculator, RPN, Scientific Calculator, Physical Calculator, Regular Edition, Snap Assembly, STEM, Students, High School, College, Engineering",TRUE,Active,SC32-STD-RETRO,,Colorway,RetroFuturism,,,,,,,,59.00,,18.20,TRUE,,,,,,shopify,100,DENY,170,g,TRUE,manual,,,,,FALSE,StackCalc SC-32 RPN Scientific Calculator ($59),"The definitive $59 physical RPN scientific calculator. 4-level stack, 43 tactile keys, 5-minute snap assembly, and 5 signature colorways.",,Office Supplies > Calculators,Unisex,Adult,SC32-STD-RETRO,,,New,FALSE,,,,,
,sc32-scientific-calculator,,,,,,,,SC32-STD-STLTH,,,Stealth Industrial,,,,,,,,59.00,,18.20,TRUE,,,,,,shopify,100,DENY,170,g,TRUE,manual,,,,,,,,,,,,SC32-STD-STLTH,,,,,,,,,
,sc32-scientific-calculator,,,,,,,,SC32-STD-SPRNV,,,Supernova,,,,,,,,59.00,,18.20,TRUE,,,,,,shopify,50,DENY,170,g,TRUE,manual,,,,,,,,,,,,SC32-STD-SPRNV,,,,,,,,,
,sc32-scientific-calculator,,,,,,,,SC32-STD-DPSPC,,,Deep Space,,,,,,,,59.00,,18.20,TRUE,,,,,,shopify,50,DENY,170,g,TRUE,manual,,,,,,,,,,,,SC32-STD-DPSPC,,,,,,,,,
,sc32-scientific-calculator,,,,,,,,SC32-STD-VYG01,,,Voyager,,,,,,,,59.00,,18.20,TRUE,,,,,,shopify,50,DENY,170,g,TRUE,manual,,,,,,,,,,,,SC32-STD-VYG01,,,,,,,,,
